ሞስሳቂሿሽሱሾሳስቂ;ሄሃ;ሁሂ;ሂህ;ሇሄ;ሉሆ;ሁሂህሀ;ሄ;ቃቅሽሽሿሾቃᇰሱሾᇰሱቂሽ቉ᇰሿሶᇰቄሹሾ቉ᇰቃሻስሼስቄሿሾቃ;ሆሇ;ቃሸሿሿቄቃᇰሱᇰሴስሱሴሼ቉ᇰሼሱቃስቂ;ሇሀሀ;ሳሸሱሾቄቃᇰሱᇰቂሹቄቅሱሼᇰሳቅቂቃስ;ለሉ;ቃቇሹሾሷቃᇰቇሹቄሸᇰሱᇰቃቀሹሻስሴᇰቃቄሱሶሶ;ህለ
ሞስሳቂሿሽሱሾሳስቂ;ሄሃ;ሁሂ;ሂህ;ሇሄ;ሉሆ;ሁሂህሀ;ሄ;ቃቅሽሽሿሾቃᇰሱሾᇰሱቂሽ቉ᇰሿሶᇰቄሹሾ቉ᇰቃሻስሼስቄሿሾቃ;ሆሇ;ቃሸሿሿቄቃᇰሱᇰሴስሱሴሼ቉ᇰሼሱቃስቂ;ሇሀሀ;ሳሸሱሾቄቃᇰሱᇰቂሹቄቅሱሼᇰሳቅቂቃስ;ለሉ;ቃቇሹሾሷቃᇰቇሹቄሸᇰሱᇰቃቀሹሻስሴᇰቃቄሱሶሶ;ህለ
ሠሿቃቃስቃቃስሴᇰሑቂሽሿቂ;ሂህ;ህሂ;ሁሀ;ሁሃ;ሁህሀ;ለሉህ;ሄ;ቇሹስሼሴቃᇰሱᇰሳቅቂቃስሴᇰሼሿሾሷቃቇሿቂሴ;ሆሇ;ሼሹሶቄቃᇰሹቄቃᇰቆሹቃሿቂᇰቄሿᇰቃሸሿቇᇰቄሸስᇰሸሿቂቂሿቂᇰቅሾሴስቂሾስሱቄሸ;ሄሃ;ሳሼስሱቆስቃᇰቇሹቄሸᇰሱᇰሷቂስሱቄሱቈስ;ሁሂሀ;ቅሾሼስሱቃሸስቃᇰሱᇰሲሱቂቂሱሷስᇰሿሶᇰሿሼሴᇰሱቂሽሿቂᇰቀሹስሳስቃ;ሇሉ
ሒሿሾስᇰሓሿሼሿቃቃቅቃ;ሃሂ;ሂሇ;ሃሄ;ሇ;ሁህሀ;ሉሆሆ;ሄ;ሳቂቅቃሸስቃᇰቇሹቄሸᇰሱᇰሸሱሽሽስቂ;ለሉ;ሷሾሱቃሸስቃᇰቇሹቄሸᇰሲሿሾ቉ᇰቄስስቄሸ;ሁሄሉ;ሴስቀሼሿ቉ቃᇰሱᇰቀቂሹሽሹቄሹቆስᇰስቈቀሼሿቃሹቆስ;ሂሀሀ;ቃቁቅስስቊስቃᇰቇሹቄሸᇰሹቄቃᇰሸሱሾሴቃ;ሇሇ
ሔቅሾሷስሿሾᇰሣሳሿቅቂሷስ;ሁህ;ሁለ;ሆሃ;ሂሄ;ሁሃሀ;ሇሂሂ;ሄ;ቅቃስቃᇰሱᇰቄስሼስሻሹሾስቄሹሳᇰሱቄቄሱሳሻ;ሃሂ;ቃቅሽሽሿሾቃᇰሱᇰሲቂሹሷሱሴስᇰሿሶᇰቇቂሱሹቄሸቃ;ሆሃ;ቃሸሿሿቄቃᇰሲሱሼሼቃᇰሿሶᇰቀሼሱቃሽሱ;ሄለ;ቃሼሹሳስቃᇰቇሹቄሸᇰስቄሸስቂስሱሼᇰሲሼሱሴስቃ;ሇሂ
ሗሹሷሱቂሱሾቄቅሼሱ;ሃሉ;ሂህ;ሇሃ;ሆ;ሁሀሇ;ሂሆሉ;ሄ;ሲሹቄስቃᇰቇሹቄሸᇰሷሱቂሷሱሾቄቅሱሾᇰሶሱሾሷቃ;ሇለ;ቃቀስሱቂቃᇰቇሹቄሸᇰሹቄቃᇰቃሸሱቂቀᇰሼስሷቃ;ለለ;ቃቀሹሾቃᇰሱᇰቄሿቈሹሳᇰቇስሲ;ሄሂ;ቀሿቅሾሳስቃᇰቇሹቄሸᇰሱሼሼᇰሹቄቃᇰሶቅቂ቉;ሉሇ
መሿቂሾስቄᇰሡቅስስሾ;ሄሁ;ሂሁ;ሉሀ;ሁሄ;ለሄ;ሄለለ;ሄ;ቃቄሹሾሷቃᇰቇሹቄሸᇰሸስቂᇰቄሱሹሼ;ሇሇ;ሶሼሱቀቃᇰሸስቂᇰቇሹሾሷቃ;ህለ;ቃቅሽሽሿሾቃᇰሱᇰሸሿቂሴስᇰሿሶᇰቇሱቃቀቃ;ህሂ;ሲቅቊቊስቃᇰቀስቂቆሱቃሹቆስሼ቉;ሃሁ
ሧሿሿሴᇰሗሹሱሾቄ;ሃሁ;ሄሀ;ሂሄ;ሂህ;ሁሃሀ;ሆሉሀ;ሄ;ቃቄሿሽቀቃᇰሿሾᇰቄሸስᇰሷቂሿቅሾሴ;ህለ;ቃሼሱሽቃᇰሱᇰቄቂስስᇰቄሿᇰቄሸስᇰስሱቂቄሸ;ለሉ;ቃሼሱሽቃᇰሱᇰሻሾሿቄቄስሴᇰሶሹቃቄᇰቄሿᇰቄሸስᇰሷቂሿቅሾሴ;ለለ;ሶሱሼሼቃᇰሿቆስቂ;ሁሃሄ
ሦሹሾስᇰሧቂሱሹቄሸ;ሇሇ;ሆ;ለሂ;ሁሆ;ሆሉ;ህሄሃ;ሄ;ሳሿሾቃቄቂሹሳቄቃᇰቇሹቄሸᇰሹቄቃᇰቄስሾሴቂሹሼቃ;ሆሇ;ቀሿሻስቃᇰቇሹቄሸᇰቀሿሹቃሿሾᇰቄሸሿቂሾቃ;ሄሆ;ቃሼሹሳስቃᇰቇሹቄሸᇰቃሸሱቂቀᇰሼስሱቆስቃ;ለለ;ቅቃስቃᇰሱᇰቄሸቂሿቇሹሾሷᇰሱቄቄሱሳሻ;ህሆ
ሖቅቂሾሱሳስᇰሗሿሼስሽ;ሁሃ;ሁሀሂ;ሁሃ;ሄ;ሁሁለ;ሉህሀ;ሄ;ቂስሼስሱቃስቃᇰሶሹቂስᇰሶቂሿሽᇰሹቄቃᇰሳሿቂስ;ህሇ;ቃሼሱሽቃᇰቇሹቄሸᇰሱᇰቃቄስስሼᇰሶሹቃቄ;ሆሆ;ሻሹሳሻቃᇰሳሼቅሽቃሹሼ቉;ለሉ;ቂስሼስሱቃስቃᇰሹቄቃᇰሽሿሼቄስሾᇰሳሿቂስ;ሁሃለ
